,Movie Name,Year of Release,Watch Time,Movie Rating,Meatscore of movie,Votes,Gross,Description
140,Người Nhện: Không Còn Nhà,(2021),148 min,8.2,71        ,"789,672",$804.75M,"With Spider-Man's identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear, forcing Peter to discover what it truly means to be Spider-Man."
141,Công Viên Kỷ Jura,(1993),127 min,8.2,68        ,"1,010,432",$402.45M,A pragmatic paleontologist touring an almost complete theme park on an island in Central America is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.
142,Tài Xế Taxi,(1976),114 min,8.2,94        ,"859,523",$28.26M,"A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action."
143,Thế Chiến 1917,(2019),119 min,8.2,78        ,"616,760",$159.23M,"April 6th, 1917. As an infantry battalion assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap."
144,Đảo Kinh Hoàng,(2010),138 min,8.2,63        ,"1,354,068",$128.01M,"In 1954, a U.S. Marshal investigates the disappearance of a murderer who escaped from a hospital for the criminally insane."
145,Không Chốn Dung Thân,(2007),122 min,8.2,92        ,"997,617",$74.28M,Violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong and more than two million dollars in cash near the Rio Grande.
146,Indiana Jones Và Cuộc Thập Tự Chinh Cuối Cùng,(1989),127 min,8.2,65        ,"768,759",$197.17M,"In 1938, after his father goes missing while pursuing the Holy Grail, Indiana Jones finds himself up against the Nazis again to stop them from obtaining its powers."
147,Không Thể Tha Thứ,(1992),130 min,8.2,85        ,"419,612",$101.16M,"Retired Old West gunslinger William Munny reluctantly takes on one last job, with the help of his old partner Ned Logan and a young man, The ""Schofield Kid."""
148,Đi Tìm Nemo,(2003),100 min,8.2,90        ,"1,063,048",$380.84M,"After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home."
149,Cẩm Nang Xanh,(2018),130 min,8.2,69        ,"515,577",$85.08M,A working-class Italian-American bouncer becomes the driver for an African-American classical pianist on a tour of venues through the 1960s American South.
150,Quái Vật Biến Hình,(1982),109 min,8.2,57        ,"436,814",$13.78M,A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims.
151,Cô Dâu Báo Thù 1,(2003),111 min,8.2,69        ,"1,137,097",$70.10M,"After awakening from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her."
152,Máu Sẽ Phải Đổ,(2007),158 min,8.2,93        ,"600,210",$40.22M,"A story of family, religion, hatred, oil and madness, focusing on a turn-of-the-century prospector in the early days of the business."
153,Lâu Đài Di Động Của Howl,(2004),119 min,8.2,82        ,"409,427",$4.71M,"When an unconfident young woman is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking castle."
154,Người Dơi Xuất Hiện,(2005),140 min,8.2,70        ,"1,498,023",$206.85M,"After training with his mentor, Batman begins his fight to free crime-ridden Gotham City from corruption."
155,Sòng Bạc,(1995),178 min,8.2,73        ,"532,606",$42.44M,"A tale of greed, deception, money, power, and murder occur between two best friends: a mafia enforcer and a casino executive compete against each other over a gambling empire, and over a fast-living and fast-loving socialite."
156,Giác Quan Thứ Sáu,(1999),107 min,8.2,64        ,"1,008,388",$293.51M,"A frightened, withdrawn Philadelphia boy who communicates with spirits seeks the help of a disheartened child psychologist."
157,Buổi Diễn Của Truman,(1998),103 min,8.2,90        ,"1,112,085",$125.62M,An insurance salesman discovers his whole life is actually a reality TV show.
158,Tên Trộm Nữ Trang,(2000),104 min,8.2,55        ,"871,415",$30.33M,"Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond."
159,Một Tâm Hồn Đẹp,(2001),135 min,8.2,72        ,"947,744",$170.74M,"After John Nash, a brilliant but asocial mathematician, accepts secret work in cryptography, his life takes a turn for the nightmarish."
160,Bí Mật Los Angeles,(1997),138 min,8.2,91        ,"591,692",$64.62M,"As corruption grows in 1950s Los Angeles, three policemen - one strait-laced, one brutal, and one sleazy - investigate a series of murders with their own brand of justice."
161,Đương Đầu Với Thử Thách,(1988),132 min,8.2,72        ,"899,066",$83.01M,A New York City police officer tries to save his estranged wife and several others taken hostage by terrorists during a Christmas party at the Nakatomi Plaza in Los Angeles.
162,The Father,(I) (2020),97 min,8.2,88        ,"166,148",#130,"A man refuses all assistance from his daughter as he ages. As he tries to make sense of his changing circumstances, he begins to doubt his loved ones, his own mind and even the fabric of his reality."
163,Ngày Tàn Của Hitler,(2004),156 min,8.2,82        ,"361,504",$5.51M,"Traudl Junge, the final secretary for Adolf Hitler, tells of the Nazi dictator's final days in his Berlin bunker at the end of WWII."
164,Cuốn Theo Chiều Gió,(1939),238 min,8.2,97        ,"321,644",$198.68M,American motion picture classic in which a manipulative woman and a roguish man conduct a turbulent romance during the Civil War and Reconstruction periods.
165,Phố Tàu,(1974),130 min,8.2,92        ,"333,675",$8.49M,"A private detective hired to expose an adulterer in 1930s Los Angeles finds himself caught up in a web of deceit, corruption, and murder."
166,Mê Cung Của Pan,(2006),118 min,8.2,98        ,"679,340",$37.63M,"In the Falangist Spain of 1944, the bookish young stepdaughter of a sadistic army officer escapes into an eerie but captivating fantasy world."
167,Chiến Binh Tự Do,(2005),132 min,8.2,62        ,"1,138,159",$70.51M,"In a future British dystopian society, a shadowy freedom fighter, known only by the alias of ""V"", plots to overthrow the tyrannical government - with the help of a young woman."
168,Chiến Binh Quyền Anh,(2011),140 min,8.2,71        ,"480,700",$13.66M,"The youngest son of an alcoholic former boxer returns home, where he's trained by his father for competition in a mixed martial arts tournament - a path that puts the fighter on a collision course with his estranged, older brother."
169,Chén Thánh Phiêu Lưu Ký,(1975),91 min,8.2,91        ,"550,387",$1.23M,"King Arthur and his Knights of the Round Table embark on a surreal, low-budget search for the Holy Grail, encountering many, very silly obstacles."
170,Thanh Gươm Diệt Quỷ: Chuyến Tàu Vô Tận,(2020),117 min,8.2,72        ,"63,392",$47.70M,"After his family was brutally murdered and his sister turned into a demon, Tanjiro Kamado's journey as a demon slayer began. Tanjiro and his comrades embark on a new mission aboard the Mugen Train, on track to despair."
171,Some Like It Hot,(1959),121 min,8.2,98        ,"272,413",$25.00M,"After two male musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in."
172,Cuộc Đào Thoát Vĩ Đại,(1963),172 min,8.2,86        ,"248,870",$12.10M,Allied prisoners of war plan for several hundred of their number to escape from a German camp during World War II.
173,Bí Mật Sau Ánh Mắt,(2009),129 min,8.2,80        ,"213,530",$6.39M,A retired legal counselor writes a novel hoping to find closure for one of his past unresolved homicide cases and for his unreciprocated love with his superior - both of which still haunt him decades later.
174,Người Voi,(1980),124 min,8.2,78        ,"247,040",#155,"A Victorian surgeon rescues a heavily disfigured man who is mistreated while scraping a living as a side-show freak. Behind his monstrous façade, there is revealed a person of kindness, intelligence and sophistication."
175,Lãnh Chúa Hidetora,(1985),162 min,8.2,97        ,"128,642",$4.14M,"In Medieval Japan, an elderly warlord retires, handing over his empire to his three sons. However, he vastly underestimates how the new-found power will corrupt them and cause them to turn on each other...and him."
176,Tumbbad,(2018),104 min,8.2,****,"52,436",%^%^%^,A mythological story about a goddess who created the entire universe. The plot revolves around the consequences when humans build a temple for her first-born.
177,Drishyam 2,(2022),140 min,8.2,****,"35,954",%^%^%^,A gripping tale of an investigation and a family which is threatened by it. Will Vijay Salgaonkar be able to protect his family this time?
178,Thêm Vài Đồng Xu Lẻ,(1965),132 min,8.2,74        ,"262,032",$15.00M,Two bounty hunters with the same intentions team up to track down an escaped Mexican outlaw.
179,All About Eve,(1950),138 min,8.2,98        ,"133,689",$0.01M,A seemingly timid but secretly ruthless ingénue insinuates herself into the lives of an aging Broadway star and her circle of theater friends.
180,Cuộc Gọi Chết Người,(1954),105 min,8.2,75        ,"180,038",$0.01M,A former tennis star arranges the murder of his adulterous wife.
181,Kho Báu Ở Sierra Madre,(1948),126 min,8.2,98        ,"127,540",$5.01M,Two down-on-their-luck Americans searching for work in 1920s Mexico convince an old prospector to help them mine for gold in the Sierra Madre Mountains.
182,Klaus - Câu Chuyện Giáng Sinh,(2019),96 min,8.2,65        ,"165,187",#178,"A simple act of kindness always sparks another, even in a frozen, faraway place. When Smeerensburg's new postman, Jesper, befriends toymaker Klaus, their gifts melt an age-old feud and deliver a sleigh full of holiday traditions."
183,Miracle in Cell No. 7,(2019),132 min,8.2,****,"51,376",%^%^%^,A story of love between a mentally-ill father who was wrongly accused of murder and his lovely six year old daughter. Prison will be their home. Based on the 2013 Korean movie Điều Kì Diệu Ở Phòng Giam Số 7 (2013).
184,Gangs of Wasseypur,(2012),321 min,8.2,89        ,"99,036",%^%^%^,"A clash between Sultan and Shahid Khan leads to the expulsion of Khan from Wasseypur, and ignites a deadly blood feud spanning three generations."
185,Yôjinbô,(1961),110 min,8.2,93        ,"125,486",#145,A crafty ronin comes to a town divided by two criminal gangs and decides to play them against each other to free the town.
186,Lã Sinh Môn,(1950),88 min,8.2,98        ,"172,196",$0.10M,"The rape of a bride and the murder of her samurai husband are recalled from the perspectives of a bandit, the bride, the samurai's ghost and a woodcutter."
187,Sống Chỉ Một Lần,(2011),155 min,8.2,****,"81,052",$3.11M,Three friends decide to turn their fantasy vacation into reality after one of their friends gets engaged.
188,Drishyam,(2015),163 min,8.2,****,"88,136",$0.74M,"Desperate measures are taken by a man who tries to save his family from the dark side of the law, after they commit an unexpected crime."
189,Những Đứa Trẻ Thiên Đường,(1997),89 min,8.2,77        ,"76,463",$0.93M,"After a boy loses his sister's pair of shoes, he goes on a series of adventures in order to find them. When he can't, he tries a new way to ""win"" a new pair."
190,Andhadhun,(2018),139 min,8.2,****,"96,748",$1.37M,"A series of mysterious events change the life of a blind pianist, who must now report a crime that he should technically know nothing of."
191,Z,(1969),127 min,8.2,86        ,"29,877",$0.08M,The public murder of a prominent politician and doctor amid a violent demonstration is covered up by military and government officials. A tenacious magistrate is determined not to let them get away with it.
